WARNING,警告
ERROR,错误
HINT,提示
IS_BROKEN,已损坏
OK,确认
CANCEL,取消
YES,是
NO,否
ON,开启
OFF,关闭
SAVE,存档
DONT_SAVE,不存档 
READ_ONLY,游戏所在目录没有写入权限，可能造成游戏资源无法解压、无法存档等错误。请将游戏放在有写入权限的目录内。
VERSION_LOW_1,运行这个游戏需要pymo 
VERSION_LOW_2,或以上版本。请访问pymo.github.io下载最新版本。
SCRIPT_ERROR_1,在执行脚本
SCRIPT_ERROR_2,第
SCRIPT_ERROR_3,行时
SCRIPT_ERROR_4,发生异常，请打开
SCRIPT_ERROR_5,获取错误信息。
SCRIPT_ERROR_6,行时发生异常，是否继续游戏？
SCRIPT_ERROR_7,发生异常。
SAVE_BRFORE_EXIT,退出前是否自动存档？
SAVE_1,存储到
SAVE_2,号存档？
SAVE_SUCCESS,存档成功！
AUTO_SAVE,(自动存档)
SAVE_TIME,存档时间：
MENU_SAVE,保存游戏
MENU_LOAD,读取游戏
MENU_LOG,对话记录
MENU_CONFIG,游戏设置
MENU_TITLE,返回标题画面
MENU_SCREENSHOT,截图
SCREENSHOT_1,仅背景图片
SCREENSHOT_2,包含人物图片
SCREENSHOT_3,包含对话
SCREENSHOT_4,截图已保存到
PLATFORM_ERROR_V3,此游戏数据似乎是S60v3格式，与您的机型不匹配，一定要运行吗？
PLATFORM_ERROR_V5,此游戏数据似乎是S60v5格式，与您的机型不匹配，一定要运行吗？
PLATFORM_ERROR_PYGAME,此游戏数据似乎是android格式，与您的机型不匹配，一定要运行吗？
CONFIGFORM_SPEED_0,很慢
CONFIGFORM_SPEED_1,慢
CONFIGFORM_SPEED_2,中等
CONFIGFORM_SPEED_3,快
CONFIGFORM_SPEED_4,很快
CONFIGFORM_SPEED_5,立即显示
CONFIG_SUCCESS,设置已保存。
CONFIGFORM_BGMVOLUME,音乐音量
CONFIGFORM_VOVOLUME,语音音量
CONFIGFORM_SPEED,文字显示速度
CONFIGFORM_FONT,字体
CONFIGFORM_FONTSIZE,字体大小
CONFIGFORM_FONTAA,字体平滑
CONFIGFORM_GRAYSELECTED,已选项变灰
CONFIGFORM_HINT,选项提示
CONFIGFORM_PLAYVIDEO,播放视频
CONFIGFORM_PREFETCH,资源预取功能（高级）
GAME_SEARCHING,正在搜索游戏
GAME_NOTFOUND,没有找到游戏，退出...
GAME_NOTFOUND_ANDROID,没有找到游戏。请将游戏放置在内置闪存或SD卡上的Python文件夹下。\n按确定退出...
CAN_NOT_FIND,找不到文件\n
